dateAdded,dateUpdated,uuid
2020-08-25,2020-08-25,c57e95d1-ebcb-4b61-adfb-f18d1dbc47e4
2020-08-25,2020-08-25,856e028b-b95a-4c90-9182-6b5ab69c7eed
2020-08-25,2020-08-25,6973b4d7-571a-4f6d-afc6-3b6f3f606bfa
2020-08-25,2020-08-25,95df3da0-7a9c-4ea7-b0c7-baa44ccd70c4
2020-08-25,2020-08-25,e46207d3-f180-4799-8216-417865817ca5
2020-08-25,2020-08-25,3d3b73f2-164e-443d-9ea0-8da4905a1c68
2020-08-25,2020-08-25,4682dd00-a2c1-4082-aa67-28cdeb05f618
2020-08-25,2020-08-25,14e63b6e-bf96-4767-a679-7d97c7c0130f
2020-08-25,2020-08-25,345202f7-2586-4204-906c-45e75c741620
2020-08-25,2020-08-25,ee7e5581-603e-45f8-96ab-0f8c92026ad4
2020-08-25,2020-08-25,51b32d17-e731-4f7d-92a7-bd6782f4baf2
2020-08-25,2020-08-25,18e8eb5f-efd7-4a30-a9e6-8135ea286dad
2020-08-25,2020-08-25,6afd4ff6-ef93-4023-8efc-c8129fae95eb
2020-08-25,2020-08-25,c3753d83-933a-49a7-98c9-1408a7ec7831
2020-08-25,2020-08-25,e17144c6-a19c-40b1-87fe-0298b235ff8e
2020-08-25,2020-08-25,6340e3fb-21d5-4ffd-a835-5532fbab27c0
2020-08-25,2020-08-25,d58ecc9c-587a-418c-bd0b-ec8202d8365c
2020-08-25,2020-08-25,b49da8a6-241c-478e-952b-c2ae2e561271
2020-08-25,2020-08-25,d0faf22c-d29f-41a9-9fe4-d64959bd0e53
2020-08-25,2020-08-25,b8ddf7a9-e7fb-459c-bcd8-14590fed8307
2020-08-25,2020-08-25,a912b613-163b-4eb0-94a2-ac6231f6a2a7
2020-08-25,2020-08-25,5491ee41-fd03-4a90-bfea-0b2e7d3aece5
2020-08-25,2020-08-25,2127996e-f91f-4fb0-a2c0-a4548b96dc78
2020-08-25,2020-08-25,6576f5b8-0070-42fe-8558-55f4d4047696
2020-08-25,2020-08-25,350e0340-e081-4d8f-8527-8f27d15f0a6a
2020-08-25,2020-08-25,397e3a60-2791-4357-b821-17504d8eae6b
2020-08-25,2020-08-25,a24c803d-ba0f-402b-a959-c5b99e84eaeb
2020-08-25,2020-08-25,b9db48dc-bc84-4c81-99b9-ac911be68950
2020-08-25,2020-08-25,94314042-cd0c-4c10-b730-020f0ec2171c
2020-08-25,2020-08-25,3141f7d6-9d42-46e1-b705-9246bbfef30c
2020-08-25,2020-08-25,547eb4a6-5417-4505-915a-c9b91110cf00
2020-08-25,2020-08-25,501c8bbb-3b5f-479e-ad96-ee28d49ad2f7
2020-08-25,2020-08-25,de8594f1-be6e-4d67-b991-36e4e3287730
2020-08-25,2020-08-25,2e6b3c9a-1e61-4b31-9289-2827c4acb9e0
2020-08-25,2020-08-25,3debb6cb-3a8b-4687-84be-268b5ff5f44d
2020-01-08,2020-08-26,4cb51ad8-f50e-4964-bd79-b51df402f328
2020-01-08,2020-08-26,a9498b1c-446a-449f-aac2-92794cbd2bbf
2020-01-08,2020-08-26,23590cf2-bd19-4207-81e0-324202d96e42
2020-01-08,2020-08-26,517f0925-cb96-4514-b46f-bfad3a62dced
2020-01-08,2020-08-26,0564e24a-c51d-4c35-88a0-806a657e8d28
2020-01-08,2020-08-26,df032b01-34d0-489d-9d04-5372fffd6ebe
2020-01-08,2020-08-26,d5082986-247a-4f80-be5f-68088a32dbcd
2020-01-08,2020-08-26,f28b794a-e26c-4961-847f-3d28104b06e9
2020-01-08,2020-08-26,4c8ce54d-0606-446b-8513-92664ee203cd
2020-01-08,2020-08-26,68999066-329c-4cae-82d5-f8ee0703dffd
2020-01-08,2020-08-26,cca08ddc-074f-48a1-a9b7-fb25117c7c22
2020-01-08,2020-08-26,6db3c69f-22ee-4870-a0cd-db76d29ee3a9
2020-08-24,2020-08-24,3b4f4981-4064-4876-b5a7-2e41ebe8229e
2020-08-24,2020-08-24,0b9ae4b0-657c-438b-854a-bb74f543083d
2020-08-24,2020-08-24,982e1fbc-3cf5-41d3-8ee2-dc56f4d4f474
2020-08-28,2020-09-01,80a097d5-faa7-46d8-90a4-aa9acab1fd66
2020-08-28,2020-09-01,62d593ce-87f8-410c-8d9f-58d10d9ad47a
2020-08-28,2020-09-01,0d5d9378-8b07-4e3c-bf32-8dc5a907733c
2020-08-28,2020-09-01,8a841d50-56c1-4991-bb95-6f7936a94078
2020-08-28,2020-09-01,671d97a9-a925-44fd-abfb-6b52401aa6f0
2020-08-28,2020-09-01,1334dfed-e78d-47d4-9c21-30cbdeb21f84
2020-08-28,2020-09-01,530b5825-93c4-4d4e-8194-0cbd03154a59
2020-08-28,2020-09-01,b822b253-48d2-4af8-93ad-6dbfe7426369
2020-08-28,2020-09-01,c1bb2c74-fb48-4b1a-8e0e-480048b21841
2020-08-28,2020-09-01,4340b06e-8f44-4efb-9aa7-e42d47662906
2020-08-28,2020-09-01,3a044ab9-b666-48d3-aa4a-8e63172c8792
2020-08-28,2020-09-01,5e6e2d30-6c53-4ffb-adaf-5eb53cd72d97
2020-08-28,2020-09-01,9cabf091-fd9e-43a1-bb9e-f8e1f567ebb5
2020-08-28,2020-09-01,859615c1-fd8f-4b6a-b501-c9b7af6818d1
2020-08-28,2020-09-01,379e171e-678d-4979-808c-bf6dd71055f9
2020-08-28,2020-09-01,f0ef0555-4fb7-44bc-a30f-1ea9c1b3c18d
2020-08-28,2020-09-01,457660c0-b120-4c3f-836f-b22b3be9db66
2020-08-28,2020-09-01,f1239149-9c15-476c-9407-2f360644d8cf
2020-08-28,2020-09-01,6577481c-ef65-4774-9697-70d8956602cb
2020-08-28,2020-09-01,cb2e5cb4-5287-46dd-b356-4b3dff10c8f5
2020-08-28,2020-09-01,01dc0520-3790-4518-8d8d-554621c07e1f
2020-08-28,2020-09-01,6e9a4823-be52-4c7a-bf41-9af677d5e537
2020-08-28,2020-09-01,c7b09d21-4c77-4147-b4af-be6c4d8d714c
2020-08-28,2020-09-01,d310ee32-d81d-468c-9e1b-f0516715af30
2020-08-28,2020-09-01,b4f478d7-00fa-4c2b-9675-c4be929276db
2020-08-28,2020-09-01,bd8d33d2-ab84-44b7-80cc-daf26a91459b
2020-08-28,2020-09-01,f0d2f719-8a12-4665-a440-57841f3686d3
2020-08-28,2020-09-01,c10a490e-34ab-468d-a48d-25f4caa438a9
2020-08-28,2020-09-01,f7c4d3a8-b23a-4a78-917b-18242d97c6f0
2020-08-28,2020-09-01,af18d278-df96-4a72-9a29-78a97a200ad0
2020-08-28,2020-09-01,759b5082-8537-4b3c-bc78-ad44c5a619bb
2020-08-28,2020-09-01,69799ddc-b383-42f4-bd8e-ef5478724a8c
2020-08-28,2020-09-01,2ec9a5ce-4d49-42c3-bf96-fff30cf755f5
2020-08-28,2020-09-01,04576abd-18d2-4bbf-b0d4-856770fd896d
2020-08-28,2020-09-01,50403018-fcbd-450c-9d10-9ffd3e42a381
2020-08-28,2020-09-01,0730f038-c7b1-4aec-b65a-07ac1c8937c8
2020-08-28,2020-09-01,8a303cf6-0610-4f28-9e0d-ef9b8d47e54e
2020-08-28,2020-09-01,0b59014d-4d4b-4057-96ec-6e3531c142b3
2020-01-08,2020-08-24,6e70f58b-782c-4328-bbec-4f43806c4c0f
2020-01-08,2020-08-24,8fd6da97-a136-4e17-b2b3-203f2b7aa0d3
2020-01-08,2020-08-24,2b69d671-0c1f-4579-b526-86dbef68313a
2020-09-14,2020-09-14,7d55dbc3-f743-4294-b67c-86e577d39ee6
2020-09-18,2020-09-18,ec5cda5b-365b-493a-8a04-5230ac93b9d9
2020-09-18,2020-09-18,11d9eaac-fc5c-4eb9-a876-0c8e6a2f3a45
2020-09-18,2020-09-18,1d368cba-d576-4968-8e8c-3a196a66a8ce
2020-09-18,2020-09-18,d3a5dc7a-5745-4125-b044-ee04205187a5
2020-09-18,2020-09-18,1f73bf80-c196-4bea-8e17-04c0fd44753a
2020-09-18,2020-09-18,88a6f3c4-fdcb-4732-a7e0-ee247ef86041
2020-09-18,2020-09-18,c3bebec4-dd43-4c39-ae6e-3e74360ba46d
2020-09-18,2020-09-18,3d5a624a-e52b-4738-9dd8-91727bb84996
2020-09-18,2020-09-18,41a294ba-7603-423c-80a9-b8f1ab85811e
2020-09-18,2020-09-18,01a341da-2c7f-4a09-86d8-15279c1ca61b
2020-09-02,2020-09-02,0776faa4-ac02-4946-8160-730ead9683a4
2020-09-02,2020-09-02,65537c70-bfbf-441d-b6d7-f493aca8d733
2020-09-02,2020-09-02,03ce9a90-3dc0-4ad7-ac58-7fad5c72a88a
2020-09-02,2020-09-02,8654f3fe-5656-4bae-89cb-b3bf3af84bfd
2020-09-02,2020-09-02,7a493d67-41d8-4f46-a59a-3e002096ca09
2020-09-02,2020-09-02,9a73f209-367a-43f4-918c-0beda8e92748
2020-09-02,2020-09-02,9493a50e-9f60-441f-9ce9-a3119a7b2ba6
2020-09-02,2020-09-02,0a7e7cdb-eda0-4b9a-a7ac-9c69b3489888
2020-09-02,2020-09-02,fec61fef-6b65-4b07-9e87-47aa6dad22c9
2020-09-02,2020-09-02,fc6d2a1a-d3ae-4ca4-8cf1-75b6b4d52ede
2020-09-02,2020-09-02,30828a9b-4da6-4ce3-b225-60286ccaae41
2020-09-02,2020-09-02,def7c4ec-2ae6-431f-92ef-45403c8e66fd
2020-09-02,2020-09-02,293c32fd-d110-4eca-a9fa-c83377e92d01
2020-09-02,2020-09-02,ec0de3a3-823b-4156-ae1b-d19f49c86ddd
2020-09-02,2020-09-02,39222ad8-fff6-4b7b-9aaf-d8be34175a19
2020-09-02,2020-09-02,f5afb66a-c419-4c62-9a55-5935baadda73
2020-09-02,2020-09-02,f5de45f6-b5f6-4f2f-b494-1dcfd7828f89
2020-09-02,2020-09-02,1eccb8eb-50d5-4719-9923-d96ba1e87897
2020-09-02,2020-09-02,4b605a47-0d4c-4c22-aae1-2277a5734872
2020-09-02,2020-09-02,889fa8ec-5b01-4617-91c8-39185f81f57c
2020-09-02,2020-09-02,d88215f1-23c7-4859-be38-9307e9a6b8ba
2020-09-02,2020-09-02,3ce73601-6e42-4c17-b370-c4f5ffe681e3
2020-09-02,2020-09-02,d878cadc-c8dc-4662-a3b3-ae8f86b48c0d
2020-09-02,2020-09-02,1115b068-8302-4d87-9adb-714f6a68b645
2020-09-02,2020-09-02,2133465a-5cad-4b89-877b-59813dc3460e
2020-09-02,2020-09-02,f252f82c-576c-4030-950a-dfdeb365b700
2020-09-02,2020-09-02,0bc1946f-8dcc-40c2-b49b-a41dd5e405c8
2020-09-02,2020-09-02,bf3670fc-a08b-4de5-8d9e-12aef173da6d
2020-09-02,2020-09-02,e525dc78-949f-49ee-82bc-a21a445cec63
2020-09-05,2020-09-05,56bca2bb-c9ef-4e80-8d91-760f0ba8aea6
