Base URL,Name,Description,Docs URL,license,Maintainer,Provider
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Business Details (MTD),"The business details API allows a developer to:

list all businesses
retrieve additional information for a user's business details",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/business-details-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Business Income Source Summary (MTD),"The Self Assessment BISS (Business Income Source Summary) API allows a developer to retrieve a summary of income and expenditure for a specified self-employment, or UK property business for a given tax year.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/self-assessment-biss-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Business Source Adjustable Summary (MTD),"The Self Assessment BSAS (Business Source Adjustable Summary) API allows a developer to retrieve an adjustable summary calculation for a specified self-employment or UK property business, for a given accounting period.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/self-assessment-bsas-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",CIS Deductions (MTD),"Under the Construction Industry Scheme (CIS), contractors deduct money from a subcontractor’s payments and pass it to HM Revenue and Customs (HMRC). The deductions count as advance payments towards the subcontractor’s tax and National Insurance.

Contractors must register for the scheme. Subcontractors don’t have to register, but deductions are taken from their payments at a higher rate if they’re not registered.Here a developer can:

create CIS deductions where they have not previously registered with HMRC
amend CIS deductions which have been previously populated when creating their record
retrieve a list of CIS deductions for a subcontractor that has been previously populated
remove CIS deductions that have been previously populated",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/cis-deductions-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Individual Calculations (MTD),"The individual calculations API allows a self-assessment taxpayer via software, to:

trigger a self-assessment tax calculation
list all their self-assessment tax calculations for a tax year
retrieve their self-assessment tax calculation result using multiple endpoints",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/individual-calculations-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Individual Losses (MTD),This API allows software packages to show and provide a taxpayers’ financial data for their Brought Forward Losses and Loss Claims.,https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/individual-losses-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Obligations (MTD),"This API allows a developer to:

retrieve obligations for a user's business income sources
retrieve the crystallisation obligations for a user's Income Tax account
retrieve the End of Period Statement obligations for a user's business income sources",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/obligations-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Self Assessment (MTD) (this API is monolithic and is in the process of being broken down to more granular APIs),"Only taxpayers subscribed to Making Tax Digital for Business for tax years 2017/18 onwards can use the API. As part of the subscription process, the user supplies HMRC with the following information:

the name of their business
their accounting period
whether they use cash or accruals accounting",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/self-assessment-api/2.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Self Assessment Accounts (MTD),"The Self Assessment Accounts API allows a developer to:

Retrieve the overall liability broken down into overdue, payable and pending amounts.
Retrieve a list of charges and payments for a given date range.
Retrieve more detail about a specific transaction.
Retrieve a list of charges made to an account for a given date range.
Retrieve the history of changes to an individual charge.
Retrieve a list of payments for a given date range.
Retrieve the allocation details of a specific payment against one or more liabilities.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/self-assessment-accounts-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Lifetime ISA,This API allows financial organisations to report Lifetime ISA (LISA) information to HM Revenue and Customs (HMRC) and get information about payments made by HMRC.,https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/lisa-api/2.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",National Insurance,"This API retrieves an annual summary of an individual taxpayer's class 1 total earnings and class 2 National Insurance contributions due for a given tax year.

Its primary use is for the calculation of a self-employed taxpayer's National Insurance liability within the Self Assessment tax calculation.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/national-insurance/1.1,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Marriage Allowance,"Marriage Allowance lets the lower earner of a couple transfer some of their Personal Allowance to their husband, wife or civil partner. If they are eligible this will then lower their tax bill.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/marriage-allowance/2.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Relief at Source,Check if a pension scheme member is a resident in Scotland or Wales for tax purposes. Pension scheme administrators need this for relief at source claims.,https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/ras-api/2.0,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Individual Benefits,"This API in particular provides information about an employee’s or director’s benefits for a given tax year, as reported to HMRC by their employer(s) through the PAYE process. For example company cars and fuel, interest-free and low interest loans, private medical and dental insurance.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/individual-benefits/1.1,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Individual Employment,"This API in particular provides information about an individual's history of employment for a given tax year, as reported to HMRC by their employer(s) through the PAYE process.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/individual-employment/1.1,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Individual Income,"This API in particular provides the following information about an individual's income for a given tax year:

income from employments, as reported to HMRC by their employer(s) through the PAYE process
income from pensions (other than state pension) and retirement annuities
income from other state benefits, such as taxable Incapacity Benefit and/or contribution-based Employment and Support Allowance",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/individual-income/1.1,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Individual Tax,"This API in particular provides the following information about an individual's tax record for a given year:

tax deducted from annual gross income for a given employment and tax year
tax deducted from pensions (other than state pension) and/or retirement annuities
tax deducted from Incapacity Benefit
tax refunded, or set off, within this tax year. For example; a repayment of CIS deductions (if you work in the construction industry), PAYE tax or tax paid on savings income. It may also be an amount that HMRC has reallocated to an existing debt.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/individual-tax/1.1,,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",VAT (MTD),"Making Tax Digital introduces digital record-keeping for VAT-registered businesses. For businesses that are above the VAT threshold, it is mandatory to use this service. Those that are below the threshold can use this service voluntarily. HMRC customers (and their agents) will use digital record-keeping software to interact directly with our systems via the MTD APIs.","https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/vat-api/1.0 
https://developer.service.hmrc.gov.uk/guides/vat-mtd-end-to-end-service-guide/ ",,SDSTeam@hmrc.gov.uk,HMRC
"Sandbox - https://test-api.service.hmrc.gov.uk 
Production - https://api.service.hmrc.gov.uk",Push Pull Notifications,"Use the Push Pull Notifications API to get notifications (pull) and to send notifications (push) automatically.

Other HMRC APIs create notifications in response to events like asynchronous API requests.",https://developer.service.hmrc.gov.uk/api-documentation/docs/api/service/push-pull-notifications-api/1.0,,SDSTeam@hmrc.gov.uk,HMRC
